"PR2/pr2_controllers"	"The controllers that run in realtime on the PR2 and supporting packages."	"https://github.com/PR2/pr2_controllers"	"github"	"melodic-devel"	"1"	"0"	"40"	"4"	"346"	"17"	"77"	"31"
"ROBOTIS-GIT/ROBOTIS-THORMANG-MPC"	"ROS packages for the motion of THORMANG3, MPC means Motion PC."	"https://github.com/ROBOTIS-GIT/ROBOTIS-THORMANG-MPC"	"github"	"master"	"2"	"0"	"0"	"0"	"320"	"12"	"5"	"15"
"wavelab/atl"	"Autonomous Quadrotor Landing"	"https://github.com/wavelab/atl"	"github"	"ros"	"19"	"0"	"0"	"0"	"1117"	"8"	"1"	"9"
"ros-planning/navigation_experimental"	"Experimental navigation techniques for ROS robots."	"https://github.com/ros-planning/navigation_experimental"	"github"	"kinetic-devel"	"7"	"0"	"0"	"0"	"262"	"8"	"21"	"27"
"ros-industrial/fanuc"	"ROS-Industrial Fanuc meta-package (http://wiki.ros.org/fanuc)"	"https://github.com/ros-industrial/fanuc"	"github"	"indigo-devel"	"579"	"0"	"29"	"6"	"461"	"6"	"11"	"11"
"inomuh/evapc_ros"	"pc libraries of evarobot"	"https://github.com/inomuh/evapc_ros"	"github"	"indigo-devel"	"28"	"0"	"2"	"0"	"155"	"5"	"5"	"3"
"PilzDE/pilz_industrial_motion"	"Industrial trajectory generation for MoveIt!."	"https://github.com/PilzDE/pilz_industrial_motion"	"github"	"kinetic-devel"	"47"	"0"	"16"	"7"	"349"	"15"	"18"	"13"
"IFL-CAMP/iiwa_stack"	"ROS integration for the KUKA LBR IIWA R800/R820 (7/14 Kg)."	"https://github.com/IFL-CAMP/iiwa_stack"	"github"	"master"	"33"	"0"	"29"	"0"	"525"	"9"	"4"	"19"
"ipa320/cob_environments"	""	"https://github.com/ipa320/cob_environments"	"github"	"indigo_dev"	"2"	"0"	"0"	"0"	"656"	"15"	"21"	"36"
"jackal/jackal_robot"	"Robot packages for Jackal"	"https://github.com/jackal/jackal_robot"	"github"	"kinetic-devel"	"2"	"0"	"0"	"0"	"119"	"8"	"13"	"7"
"leggedrobotics/free_gait"	"An Architecture for the Versatile Control of Legged Robots"	"https://github.com/leggedrobotics/free_gait"	"github"	"master"	"3"	"0"	"11"	"3"	"905"	"14"	"7"	"28"
"astuff/ibeo_scala"	"ROS Driver for Ibeo Scala and Scala Fusion Products"	"https://github.com/astuff/ibeo_scala"	"github"	"master"	"1"	"0"	"1"	"0"	"114"	"3"	"0"	"7"
"ros-naoqi/naoqi_bridge"	"ROS stack to interact with NAOqi"	"https://github.com/ros-naoqi/naoqi_bridge"	"github"	"master"	"14"	"0"	"8"	"2"	"563"	"4"	"15"	"41"
"ros-industrial/abb"	"ROS-Industrial ABB meta-package (http://wiki.ros.org/abb)"	"https://github.com/ros-industrial/abb"	"github"	"kinetic-devel"	"93"	"0"	"13"	"5"	"268"	"8"	"12"	"27"
"appinho/SARosPerceptionKitti"	"ROS package for the Perception (Sensor Processing, Detection, Tracking and Evaluation) of the KITTI Vision Benchmark Suite"	"https://github.com/appinho/SARosPerceptionKitti"	"github"	"master"	"4"	"0"	"0"	"1"	"198"	"3"	"0"	"4"
"tork-a/roswww"	"Tiny web server for ROS (forked from https://github.com/jihoonl/roswww)"	"https://github.com/tork-a/roswww"	"github"	"develop"	"3"	"0"	"8"	"0"	"103"	"4"	"13"	"10"
"robotics-in-concert/rocon_concert"	"Orchestration packages for the multi-robot environment."	"https://github.com/robotics-in-concert/rocon_concert"	"github"	"devel"	"2"	"0"	"25"	"0"	"852"	"8"	"27"	"17"
"ros-industrial/motoman"	"ROS-Industrial Motoman meta-package (http://wiki.ros.org/motoman)"	"https://github.com/ros-industrial/motoman"	"github"	"kinetic-devel"	"135"	"0"	"55"	"12"	"512"	"9"	"7"	"39"
"ros-industrial/robotiq"	"ROS-Industrial Robotiq meta-package (http://wiki.ros.org/robotiq)"	"https://github.com/ros-industrial/robotiq"	"github"	"kinetic-devel"	"8"	"0"	"18"	"5"	"182"	"6"	"0"	"39"
"JenniferBuehler/graspit-pkgs"	"Collection of packages related to GraspIt!"	"https://github.com/JenniferBuehler/graspit-pkgs"	"github"	"master"	"13"	"0"	"17"	"0"	"139"	"6"	"13"	"1"
"davidbsp/patrolling_sim"	"patrolling_sim for ROS"	"https://github.com/davidbsp/patrolling_sim"	"github"	"master"	"4"	"0"	"3"	"0"	"146"	"3"	"3"	"7"
"DrawZeroPoint/drv_package_v2"	"Robot Vision System based on ROS and Deep Learning technology"	"https://github.com/DrawZeroPoint/drv_package_v2"	"github"	"master"	"9"	"0"	"0"	"0"	"233"	"3"	"3"	"3"
"ros-controls/realtime_tools"	""	"https://github.com/ros-controls/realtime_tools"	"github"	"melodic-devel"	"2"	"0"	"4"	"3"	"103"	"7"	"16"	"17"
"autonohm/ohm_tsd_slam"	"SLAM approach based on truncated signed distance transform"	"https://github.com/autonohm/ohm_tsd_slam"	"github"	"master"	"3"	"0"	"2"	"0"	"224"	"13"	"3"	"12"
